2026-03-06 12:11:37 | ERROR | listTask | Task ID cb324 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:37 | ERROR | listTask | Task ID cb325 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:37 | ERROR | listTask | Task ID cb326 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:37 | ERROR | listTask | Task ID cb328 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:37 | ERROR | listTask | Task ID cb329 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:37 | ERROR | listTask | Task ID cb331 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb333 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb334 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb338 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb340 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb341 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb342 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb344 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb345 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb349 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb358 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb359 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb366 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb367 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb368 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb374 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb377 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb381 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb382 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb385 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb386 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb418 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb419 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb422 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb448 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb449 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb450 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb451 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb452 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb453 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb454 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb455 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb458 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb459 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb462 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:38 | ERROR | listTask | Task ID cb638 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:39 | ERROR | listTask | Task ID cb825 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:39 | ERROR | listTask | Task ID cb826 failed: Locator.wait_for: Target page, context or browser has been closed
2026-03-06 12:11:39 | ERROR | listTask | Task ID cb827 failed: Locator.wait_for: Target page, context or browser has been closed
